"","x"
"1213_at",0.0494978237416488
"1214_s_at",0.0107221459691768
"1217_g_at",0.00522185479749893
"1218_at",0.00362703549962884
"1219_at",0.0295218476375099
"122_at",0.0247850493476061
"1220_g_at",0.0313230173579653
"1221_at",0.0469568126138227
"1222_at",0.108870025893101
"1223_at",-0.0239622097777639
"1224_at",0.0452450983697856
"1225_g_at",0.0529465310301398
"1226_at",-0.147875752568713
"1227_g_at",-0.0154226741468422
"1228_s_at",0.0571636981719161
"1229_at",0.0139884866668356
"123_at",0.0154771741536995
"1230_g_at",-0.00870545847109949
"1231_at",0.0222833918673362
"1232_s_at",0.0446539160574311
"1233_s_at",-0.0046220215979651
"1234_at",0.00417287431335778
"1235_at",0.010415634722432
"1236_s_at",-0.0190608919774562
"1237_at",-0.0778095739039322
"1238_at",-0.02654232972341
"1239_s_at",-0.0303040822742333
"1240_at",0.0217464066807609
"1241_at",-0.0177246401611655
"1242_at",0.0100928452119764
"1243_at",-0.023383590852347
"1244_at",-0.0220105607510908
"1245_i_at",0.159199559569309
"1246_at",-0.00275928600828057
"1247_g_at",-0.0203126900135611
"1248_at",-0.00682892554433012
"1249_at",0.00459434812522352
"1250_at",0.0693043445237254
"1251_g_at",0.0646512018117107
"1252_at",0.0108916045829246
"1253_at",-0.0495432789502912
"1254_at",-0.0299919432870677
"1255_g_at",-0.0243889938494197
"1256_at",-0.0277036458114648
"1257_s_at",0.0340820613900532
"1258_s_at",0.0923919501084698
"1259_at",-0.0304050650298144
"126_s_at",0.0495859830081559
"1260_s_at",0.0425334710771539
"1261_i_at",0.0350584326716614
"1262_s_at",-0.0935159416004253
"1263_at",-0.000656197133952041
"1264_at",0.0431054678015707
"1265_g_at",-0.0179309106837384
"1266_s_at",-0.0666303138464914
"1267_at",0.00209401421742972
"1268_at",0.0619987254588583
"1269_at",0.0956164495325862
"1270_at",0.0630539793326605
"1271_g_at",0.0371799596030489
"1272_at",-0.167007530830092
"1273_r_at",-0.0126630994836348
"1274_s_at",0.00297304604024506
"1275_at",-0.119749320864951
"1276_g_at",0.00805311085203653
"1277_at",0.0415190827632748
"1278_at",-0.0440782962740505
"1279_s_at",-0.00947854692915073
"128_at",-0.112190510492831
"1280_i_at",0.0368184107670018
"1281_f_at",0.033560341649995
"1282_s_at",-0.0160075074687507
"1283_at",-0.0292139884969342
"1284_at",-0.00911667621605461
"1285_at",0.0109113918206294
